Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,BUILD_MATRIX_CONFIG,FATAL ERROR UNIT_OUT_OF_PROCESS [ACTIVE] UNIT OUT OF PROCESS [ACTIVE],MoveDUTToFixture_AfterPriming,tc=Ether_Scan tech=ARROW:subtc=PRAD Omnia=0:freq=7.850000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=PRAD Omnia=0:freq=7.900000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=PRAD Omnia=0:freq=7.950000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=PRAD Omnia=0:freq=8.000000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=PRAD Omnia=0:freq=8.050000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=PRAD Omnia=0:freq=8.100000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=PRAD Omnia=0:freq=8.150000GHz:ant=ant_0
Display Name ----->,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,,,,1,1,1,1,1,1,1
Upper Limit ----->,,,,,,,,,,,,,,,,,,,,,
Lower Limit ----->,,,,,,,,,,,,,,,-160,-160,-160,-160,-160,-160,-160
Measurement Unit ----->,,,,,,,,,,,,,,,dBm,dBm,dBm,dBm,dBm,dBm,dBm
LXKS,B589,CMXYXF17HM,B589-PROTO,B589-PROTO_MA5-REL,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:35,2025/7/3 9:37,20ADkP180.C99DM133,,MA5-REL,,,-147.077728,-146.509445,-146.814133,-146.785599,-147.139755,-147.72525,-148.300537
LXKS,B589,CT602Q9JC4,B589-PROTO,B589-PROTO_MA6-DEBUG,,LXKS_A03-2FT-11_13_A-OTA,FAIL,2025/7/3 9:35,2025/7/3 9:37,20ADkP180.C99DM133,MoveDUTToFixture_AfterPriming,MA6-DEBUG,,,,,,,,,
LXKS,B589,CT602Q9JC4,B589-PROTO,B589-PROTO_MA6-DEBUG,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 9:39,2025/7/3 9:41,20ADkP180.C99DM133,,MA6-DEBUG,,,-147.858932,-147.027298,-148.050735,-148.514252,-148.630737,-149.879517,-150.050949
LXKS,B589,D03VD6K95V,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_1_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:19,20ADkP180.C99DM133,,ACOUSTICD1,,,-148.634247,-147.829208,-148.332489,-148.876587,-148.986435,-150.244705,-150.741547
LXKS,B589,D1203D46N7,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_3_A-OTA,PASS,2025/7/3 10:25,2025/7/3 10:28,20ADkP180.C99DM133,,ACOUSTICD3,,,-146.793564,-146.354599,-146.921844,-147.540161,-148.118362,-149.24942,-149.992386
LXKS,B589,D24KXFYQDW,B589-PROTO,B589-PROTO_MA5-RF,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:25,2025/7/3 9:27,20ADkP180.C99DM133,,MA5-RF,,,-147.341644,-146.762726,-147.008759,-147.250259,-147.958282,-148.762695,-149.691223
LXKS,B589,DR43LJHJ4V,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_9_A-OTA,PASS,2025/7/3 10:03,2025/7/3 10:08,20ADkP180.C99DM133,,ACOUSTICD2,,,-147.402664,-147.122025,-147.684158,-148.635391,-149.363083,-150.539108,-151.392303
LXKS,B589,DVJXWFV0CX,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 10:31,2025/7/3 10:33,20ADkP180.C99DM133,,ACOUSTICD3,,,-147.279648,-146.677109,-147.252396,-147.814926,-148.701126,-149.742004,-150.212692
