Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,BUILD_MATRIX_CONFIG,FATAL ERROR UNIT_OUT_OF_PROCESS [ACTIVE] UNIT OUT OF PROCESS [ACTIVE],MoveDUTToFixture_AfterPriming,tc=Ether_Scan tech=BT:subtc=PRAD_Compensated Omnia=2:rate=1LE:freq=2402:pwr=8:ant=0,tc=Ether_Scan tech=BT:subtc=PRAD_Compensated Omnia=2:rate=1LE:freq=2440:pwr=8:ant=0,tc=Ether_Scan tech=BT:subtc=PRAD_Compensated Omnia=2:rate=1LE:freq=2480:pwr=8:ant=0
Display Name ----->,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,,,,1.0,1.0,1.0
Upper Limit ----->,,,,,,,,,,,,,,,11.0,11.0,11.0
Lower Limit ----->,,,,,,,,,,,,,,,5.0,5.0,5.0
Measurement Unit ----->,,,,,,,,,,,,,,,,,
LXKS,B589,CMXYXF17HM,B589-PROTO,B589-PROTO_MA5-REL,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:35,2025/7/3 9:37,20ADkP180.C99DM133,,MA5-REL,,,7.622688,7.946793,8.285477
LXKS,B589,CT602Q9JC4,B589-PROTO,B589-PROTO_MA6-DEBUG,,LXKS_A03-2FT-11_13_A-OTA,FAIL,2025/7/3 9:35,2025/7/3 9:37,20ADkP180.C99DM133,MoveDUTToFixture_AfterPriming,MA6-DEBUG,,,,,
LXKS,B589,CT602Q9JC4,B589-PROTO,B589-PROTO_MA6-DEBUG,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 9:39,2025/7/3 9:41,20ADkP180.C99DM133,,MA6-DEBUG,,,7.586563,7.556236,7.51226
LXKS,B589,D03VD6K95V,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_1_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:19,20ADkP180.C99DM133,,ACOUSTICD1,,,7.298248,6.856453,6.696228
LXKS,B589,D1203D46N7,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_3_A-OTA,PASS,2025/7/3 10:25,2025/7/3 10:28,20ADkP180.C99DM133,,ACOUSTICD3,,,7.857391,7.533073,7.354874
LXKS,B589,D24KXFYQDW,B589-PROTO,B589-PROTO_MA5-RF,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:25,2025/7/3 9:27,20ADkP180.C99DM133,,MA5-RF,,,6.76799,7.600014,8.685692
LXKS,B589,DR43LJHJ4V,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_9_A-OTA,PASS,2025/7/3 10:03,2025/7/3 10:08,20ADkP180.C99DM133,,ACOUSTICD2,,,7.994606,7.908279,7.893486
LXKS,B589,DVJXWFV0CX,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 10:31,2025/7/3 10:33,20ADkP180.C99DM133,,ACOUSTICD3,,,7.355606,7.546082,7.644684
LXKS,B589,DYJMVQ7QDT,B589-PROTO,B589-PROTO_MA5-REL,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 9:29,2025/7/3 9:31,20ADkP180.C99DM133,,MA5-REL,,,6.641914,6.724831,6.847237
LXKS,B589,F0XHL036WJ,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_9_A-OTA,PASS,2025/7/3 10:18,2025/7/3 10:30,20ADkP180.C99DM133,,ACOUSTICD1,,,7.890419,7.9076,7.864914
LXKS,B589,FK9YY09YLV,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 10:14,2025/7/3 10:16,20ADkP180.C99DM133,,ACOUSTICD2,,,7.893776,7.398407,7.083771
LXKS,B589,FQK9Q2W277,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_10_A-OTA,PASS,2025/7/3 10:22,2025/7/3 10:24,20ADkP180.C99DM133,,ACOUSTICD1,,,7.510628,7.08844,6.889244
LXKS,B589,FYKRFG90K4,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_1_A-OTA,PASS,2025/7/3 10:26,2025/7/3 10:28,20ADkP180.C99DM133,,ACOUSTICD3,,,7.50869,6.847244,6.462372
LXKS,B589,G4YJMT7KHM,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 10:24,2025/7/3 10:26,20ADkP180.C99DM133,,ACOUSTICD3,,,7.050232,7.373131,7.677345
LXKS,B589,G7X2X49G9F,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_2_A-OTA,PASS,2025/7/3 10:20,2025/7/3 10:22,20ADkP180.C99DM133,,ACOUSTICD1,,,8.01725,7.883011,7.783005
LXKS,B589,GGH34HVYD3,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 10:13,2025/7/3 10:16,20ADkP180.C99DM133,,ACOUSTICD2,,,7.947495,7.941437,7.8936
LXKS,B589,GHC9M3WH9V,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_5_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:20,20ADkP180.C99DM133,,ACOUSTICD2,,,7.065994,7.109367,7.301498
LXKS,B589,GHVJXJMGF7,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_2_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:19,20ADkP180.C99DM133,,ACOUSTICD1,,,6.771965,6.66507,6.646347
LXKS,B589,GQ10FK2FD9,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_10_A-OTA,PASS,2025/7/3 10:26,2025/7/3 10:28,20ADkP180.C99DM133,,ACOUSTICD3,,,7.632103,7.526245,7.535797
LXKS,B589,GT94MX296T,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:20,20ADkP180.C99DM133,,ACOUSTICD1,,,7.653954,7.135765,6.818657
LXKS,B589,GX9YYK4TFY,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 10:31,2025/7/3 10:34,20ADkP180.C99DM133,,ACOUSTICD3,,,7.808739,7.120865,6.689987
LXKS,B589,H4RD2YJR2Y,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 10:13,2025/7/3 10:16,20ADkP180.C99DM133,,ACOUSTICD2,,,7.807693,7.392967,7.07309
LXKS,B589,H95R4R3C3P,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 10:24,2025/7/3 10:27,20ADkP180.C99DM133,,ACOUSTICD3,,,7.921097,8.057655,8.022781
LXKS,B589,HG1FHGVFQJ,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:20,20ADkP180.C99DM133,,ACOUSTICD1,,,7.505898,7.368965,7.159706
