Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,BUILD_MATRIX_CONFIG,FATAL ERROR UNIT_OUT_OF_PROCESS [ACTIVE] UNIT OUT OF PROCESS [ACTIVE],MoveDUTToFixture_AfterPriming,tc=Ether_Scan tech=ARROW:subtc=PRAD_Corrected Omnia=0:freq=7.850000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=PRAD_Corrected Omnia=0:freq=7.900000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=PRAD_Corrected Omnia=0:freq=7.950000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=PRAD_Corrected Omnia=0:freq=8.000000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=PRAD_Corrected Omnia=0:freq=8.050000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=PRAD_Corrected Omnia=0:freq=8.100000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=PRAD_Corrected Omnia=0:freq=8.150000GHz:ant=ant_0
Display Name ----->,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,,,,1,1,1,1,1,1,1
Upper Limit ----->,,,,,,,,,,,,,,,,,,,,,
Lower Limit ----->,,,,,,,,,,,,,,,,,,,,,
Measurement Unit ----->,,,,,,,,,,,,,,,dBm,dBm,dBm,dBm,dBm,dBm,dBm
LXKS,B589,CMXYXF17HM,B589-PROTO,B589-PROTO_MA5-REL,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:35,2025/7/3 9:37,20ADkP180.C99DM133,,MA5-REL,,,-10.074722,-10.143448,-9.827133,-10.212601,-10.97876,-10.562256,-11.196533
LXKS,B589,CT602Q9JC4,B589-PROTO,B589-PROTO_MA6-DEBUG,,LXKS_A03-2FT-11_13_A-OTA,FAIL,2025/7/3 9:35,2025/7/3 9:37,20ADkP180.C99DM133,MoveDUTToFixture_AfterPriming,MA6-DEBUG,,,,,,,,,
LXKS,B589,CT602Q9JC4,B589-PROTO,B589-PROTO_MA6-DEBUG,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 9:39,2025/7/3 9:41,20ADkP180.C99DM133,,MA6-DEBUG,,,-10.805939,-9.970291,-11.104736,-11.733246,-11.984741,-12.41951,-11.883942
LXKS,B589,D03VD6K95V,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_1_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:19,20ADkP180.C99DM133,,ACOUSTICD1,,,-11.35524,-10.509201,-10.938492,-11.652588,-12.362442,-12.518707,-12.675552
LXKS,B589,D1203D46N7,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_3_A-OTA,PASS,2025/7/3 10:25,2025/7/3 10:28,20ADkP180.C99DM133,,ACOUSTICD3,,,-9.761566,-9.475601,-10.127838,-10.744156,-11.607361,-12.003418,-12.59639
LXKS,B589,D24KXFYQDW,B589-PROTO,B589-PROTO_MA5-RF,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:25,2025/7/3 9:27,20ADkP180.C99DM133,,MA5-RF,,,-10.338638,-10.396729,-10.021759,-10.677261,-11.797287,-11.599701,-12.587219
LXKS,B589,DR43LJHJ4V,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_9_A-OTA,PASS,2025/7/3 10:03,2025/7/3 10:08,20ADkP180.C99DM133,,ACOUSTICD2,,,-9.833664,-9.239029,-10.265152,-11.056396,-12.162079,-12.490112,-12.776306
LXKS,B589,DVJXWFV0CX,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 10:31,2025/7/3 10:33,20ADkP180.C99DM133,,ACOUSTICD3,,,-10.202652,-9.764114,-10.430389,-11.236923,-12.248123,-12.271011,-12.399689
